,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,artist_ids,top_track_popularities,genres,track_popularities
0,2690,7am On Bridle Path,Drake,Certified Lover Boy,spotify:track:42m3eP1JJhtzffal9B136J,3TVXtAsR1Inumwj472S9r4,85.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",57.0
1,870,Intro (Hate on Me),Meek Mill,Expensive Pain,spotify:track:4s7TIubkdsgdtDEDFEAYVL,20sxb77xiYeusSH8cVdatc,74.0,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",43.0
2,7250,Wandered To LA (with Justin Bieber),Juice WRLD,Wandered To LA (with Justin Bieber),spotify:track:5J6rTmMjF9DVIAF8G3M9n4,4MCBfE4596Uoi2O4DtmEMz,86.0,"['chicago rap', 'melodic rap', 'rap']",0.0
3,7250,Wandered To LA (with Justin Bieber),Juice WRLD,Wandered To LA (with Justin Bieber),spotify:track:5J6rTmMjF9DVIAF8G3M9n4,4MCBfE4596Uoi2O4DtmEMz,86.0,"['chicago rap', 'melodic rap', 'rap']",0.0
4,151640,Peru,Fireboy DML,Peru,spotify:track:0lk5tzmaJWVAv5GBvpm3xu,75VKfyoBlkmrJFDqo1o2VY,69.0,"['afrobeats', 'nigerian pop']",51.0
5,151640,Peru,Fireboy DML,Peru,spotify:track:0lk5tzmaJWVAv5GBvpm3xu,75VKfyoBlkmrJFDqo1o2VY,69.0,"['afrobeats', 'nigerian pop']",51.0
6,82696,Peru,Fireboy DML,Peru,spotify:track:0lk5tzmaJWVAv5GBvpm3xu,75VKfyoBlkmrJFDqo1o2VY,69.0,"['afrobeats', 'nigerian pop']",51.0
7,2350,Enchanted Waterfall,Tory Lanez,Alone At Prom,spotify:track:2sw9r0DEwO1Nqg6eBtsCcc,2jku7tDXc6XoB6MO2hFuqg,83.0,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",0.0
8,136548,,,,,,,,
9,119172,When I'm Lonely,Lil Durk,The Voice,spotify:track:16BAc8PUG2ymVkgcSRXLj1,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",45.0
10,48656,Wrong or Right,Blxst,No Love Lost,spotify:track:4Z84PdHNzSag4M9pwOkGPB,4qXC0i02bSFstECuXP2ZpL,73.0,"['pop rap', 'westcoast flow']",37.0
11,4880,A Woman,Tory Lanez,DAYSTAR,spotify:track:3iMv0Hm9E3GNmQNXuYYnxY,2jku7tDXc6XoB6MO2hFuqg,83.0,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",43.0
12,3970,Friends Become Strangers,Tory Lanez,DAYSTAR,spotify:track:1EOc4ZIIpQfJyraqEHAm9j,2jku7tDXc6XoB6MO2hFuqg,83.0,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",43.0
13,2920,Queen And Slim,Tory Lanez,DAYSTAR,spotify:track:4p84O0MyZpSChLOea6HwM0,2jku7tDXc6XoB6MO2hFuqg,83.0,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",34.0
14,532122,Friends Become Strangers,Tory Lanez,DAYSTAR,spotify:track:1EOc4ZIIpQfJyraqEHAm9j,2jku7tDXc6XoB6MO2hFuqg,83.0,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",43.0
15,374542,Queen And Slim,Tory Lanez,DAYSTAR,spotify:track:4p84O0MyZpSChLOea6HwM0,2jku7tDXc6XoB6MO2hFuqg,83.0,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",34.0
16,3045,Solar Drive @ Night,Tory Lanez,DAYSTAR,spotify:track:01qXv30NBRezWvfFCuXKWr,2jku7tDXc6XoB6MO2hFuqg,83.0,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",53.0
