,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,artist_ids,top_track_popularities,genres,track_popularities
0,1290,All My Life (feat. J. Cole),Lil Durk,Almost Healed,spotify:track:6T7FXSuXykeGktMLGp8WgE,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",66.0
1,195730,Never Again,Lil Durk,Almost Healed,spotify:track:45ei5A1TycXr9ZsWaFZiuT,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",47.0
2,123200,Put Em On Ice,Lil Durk,Almost Healed,spotify:track:1Q33JSvyx8OTTwafwCNVl8,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",46.0
3,7162,Big Dawg (feat. Chief Wuk),Lil Durk,Almost Healed,spotify:track:7CSxAriQKhvmM7Bu12fm5e,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",57.0
4,66970,Sad Songs,Lil Durk,Almost Healed,spotify:track:6ALiIRPSgKaMRu5PDBZvN8,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",47.0
5,189324,War Bout It (feat. 21 Savage),Lil Durk,Almost Healed,spotify:track:4muwDurKeVOB1WBjTVRWlD,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",58.0
6,265160,You Got Em,Lil Durk,Almost Healed,spotify:track:1kXlRnMZ8nvUuCYkfxn7iw,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",44.0
7,21119,Grandson (feat. Kodak Black),Lil Durk,Almost Healed,spotify:track:2iUQCloOfXTzjZAyW23pGf,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",45.0
8,153740,Same Side (feat. Rob49),Lil Durk,Almost Healed,spotify:track:2JNaqjOm7jHePMdr6WIadg,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",48.0
9,291054,B12,Lil Durk,Almost Healed,spotify:track:7cP6kjAIJtIN1zyV5Q0kA9,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",49.0
10,33374,At This Point We Stuck,Lil Durk,Almost Healed,spotify:track:6C5BUMqodKquXEQjEE8EeW,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",41.0
11,1760,Sad Songs,Lil Durk,Almost Healed,spotify:track:6ALiIRPSgKaMRu5PDBZvN8,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",47.0
12,590,All My Life (feat. J. Cole),Lil Durk,Almost Healed,spotify:track:6T7FXSuXykeGktMLGp8WgE,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",66.0
13,129536,Never Again,Lil Durk,Almost Healed,spotify:track:45ei5A1TycXr9ZsWaFZiuT,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",47.0
14,15670,2TURNTY,Jerm,JERM_X,spotify:track:4lXb9B82zhhVD66jbUHcSm,5JSpdSi1RHQ3KgNovJBJhF,,['rage rap'],0.0
15,60,Feels Like Summer,Childish Gambino,Summer Pack,spotify:track:7p4vHnYXkxlzvfePJVpcTr,73sIBHcqh3Z3NyqHKZ7FOL,80.0,"['atl hip hop', 'hip hop', 'rap']",67.0
16,297404,Feels Like Summer,Childish Gambino,Summer Pack,spotify:track:7p4vHnYXkxlzvfePJVpcTr,73sIBHcqh3Z3NyqHKZ7FOL,80.0,"['atl hip hop', 'hip hop', 'rap']",67.0
17,284996,Feels Like Summer,Childish Gambino,Summer Pack,spotify:track:7p4vHnYXkxlzvfePJVpcTr,73sIBHcqh3Z3NyqHKZ7FOL,80.0,"['atl hip hop', 'hip hop', 'rap']",67.0
18,2480,,,,,,,,
19,111400,,,,,,,,
20,278467,,,,,,,,
21,8163,,,,,,,,
22,1900,,,,,,,,
23,20980,,,,,,,,
24,181416,Shake,Vellydagoat,Line of Fire,spotify:track:4wfMuwT4Si3RMrIZmV9aHT,0Uls47yHdW9M1hgXUv1fu5,21.0,[],1.0
25,47540,,,,,,,,
26,129567,,,,,,,,
27,124805,SHAKE SUMN,DaBaby,CALL DA FIREMAN,spotify:track:3FhZPYvMGSjFc6boVYKlCv,4r63FhuTkUYltbVAg5TQnk,80.0,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",59.0
28,124905,Cross The Globe (feat. Juice WRLD),Lil Durk,Almost Healed,spotify:track:52WWw9qNZXZZtWU336TtKG,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",57.0
29,68542,scapegoats,Baby Keem,The Melodic Blue,spotify:track:74bdnHhtEzkM49KQJh4hK8,5SXuuuRpukkTvsLuUknva1,79.0,"['hip hop', 'rap']",47.0
30,188093,Spirited Away,6LACK,Since I Have A Lover,spotify:track:13cpmGta0jcpakph0NoGZc,4IVAbR2w4JJNJDDRFP3E83,74.0,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']",45.0
31,10115,No Pole,Don Toliver,Love Sick,spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,4Gso3d4CscCijv0lmajZWs,85.0,['rap'],85.0
32,188093,Spirited Away,6LACK,Since I Have A Lover,spotify:track:13cpmGta0jcpakph0NoGZc,4IVAbR2w4JJNJDDRFP3E83,74.0,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']",45.0
33,187613,No Pole,Don Toliver,Love Sick,spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,4Gso3d4CscCijv0lmajZWs,85.0,['rap'],85.0
34,282000,Since I Have A Lover,6LACK,Since I Have A Lover,spotify:track:5D1QJgn1rP8docnVY6MRJ9,4IVAbR2w4JJNJDDRFP3E83,74.0,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']",51.0
35,14137,Search & Rescue,Drake,Search & Rescue,spotify:track:7aRCf5cLOFN1U7kvtChY1G,3TVXtAsR1Inumwj472S9r4,85.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",71.0
36,231840,Testify,6LACK,Since I Have A Lover,spotify:track:3kafzvowAyLtjs6TRFaRdj,4IVAbR2w4JJNJDDRFP3E83,74.0,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']",38.0
37,22250,Inwood Hill Park,6LACK,Since I Have A Lover,spotify:track:4qZLrKsaGkYmVRGUviVPtk,4IVAbR2w4JJNJDDRFP3E83,74.0,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']",59.0
38,11760,,,,,,,,
39,1500,Gleesh Place,King Von,Welcome to O'Block,spotify:track:2GoduKuMYSTvNR8gNPV1yN,6QtgPSJPSzcnn7dPZ4VINp,77.0,"['chicago rap', 'rap']",58.0
40,2590,Can't Relate,King Von,Welcome to O'Block,spotify:track:7ueAzFpkUwrLePgFwEevFN,6QtgPSJPSzcnn7dPZ4VINp,77.0,"['chicago rap', 'rap']",50.0
41,1550,The Code (feat. Polo G),King Von,Welcome to O'Block,spotify:track:5NOUjBikzECEJyZMTxtErD,6QtgPSJPSzcnn7dPZ4VINp,77.0,"['chicago rap', 'rap']",61.0
42,10570,Ride,King Von,Welcome to O'Block,spotify:track:0c5qAIcNy3jNIxmZXllp4V,6QtgPSJPSzcnn7dPZ4VINp,77.0,"['chicago rap', 'rap']",67.0
43,139840,Never Again,Lil Durk,Almost Healed,spotify:track:45ei5A1TycXr9ZsWaFZiuT,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",47.0
44,21111,Moment of Truth,Lil Durk,Almost Healed,spotify:track:3Y1yPRugBkAsBeP9piuFEG,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",43.0
45,1740,Never Imagined (feat. Future),Lil Durk,Almost Healed,spotify:track:4fbXBeVeqzZ0SmJQcWm4St,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",48.0
46,197020,Same Side (feat. Rob49),Lil Durk,Almost Healed,spotify:track:2JNaqjOm7jHePMdr6WIadg,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",48.0
