,track_id,average_seconds_played,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_name_x,artist_name_x,artist_id_x,genres_x,track_popularity_x,track_name_y,artist_name_y,artist_id_y,genres_y,track_popularity_y,avg_completion_rate,total_plays
918,spotify:track:25Wq1OwZyKLMjVNXIhzVlV,346.886,0.713,0.605,11.0,-7.487,1.0,0.107,0.497,3.46e-06,0.115,0.432,142.025,4.0,Aim For The Moon (feat. Quavo),Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,"['brooklyn drill', 'hip hop', 'rap']",44.0,Aim For The Moon (feat. Quavo),Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,"['brooklyn drill', 'hip hop', 'rap']",44.0,1.9736794191947928,1
865,spotify:track:1xYpVRspgaLxdJLOTQkTjg,338.438,0.588,0.567,4.0,-3.738,0.0,0.0628,0.221,0.0,0.135,0.113,150.009,4.0,STOP TRYING TO BE GOD,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,"['rap', 'slap house']",66.0,STOP TRYING TO BE GOD,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,"['rap', 'slap house']",66.0,1.0,1
1110,spotify:track:2TX04DO2zwrmoZKos95IA5,337.042,0.893,0.569,0.0,-6.389,1.0,0.0734,0.0256,0.0,0.177,0.501,133.07,4.0,back in the a,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,"['atl hip hop', 'melodic rap', 'rap', 'trap']",64.0,back in the a,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,"['atl hip hop', 'melodic rap', 'rap', 'trap']",64.0,1.9456666685909239,1
949,spotify:track:28JBD8p18xNuOfyV7Cotdn,336.924,0.499,0.671,4.0,-6.774,0.0,0.0561,0.114,0.0169,0.148,0.0557,124.994,3.0,Massive,Drake,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",67.0,Massive,Drake,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",67.0,1.0,1
2732,spotify:track:67z96vytrhBnjKUnbELemt,332.234,0.898,0.576,1.0,-8.222,1.0,0.0663,0.00185,0.00188,0.131,0.556,112.015,4.0,"SHAKE AH (feat. Tony Duardo, Optimist Music ZA & Ez Maestro)",Tyla,3SozjO3Lat463tQICI9LcE,[],60.0,"SHAKE AH (feat. Tony Duardo, Optimist Music ZA & Ez Maestro)",Tyla,3SozjO3Lat463tQICI9LcE,[],60.0,0.9515045809025481,3
146,spotify:track:0L37h0aKy20fWXH6JKtUGz,331.855,0.819,0.223,11.0,-19.396,0.0,0.216,0.089,0.0,0.139,0.122,130.015,4.0,Calling It Crazy (Lil Baby),xanderkash,5EBASY7wF4h5vGXe7BauS9,[],0.0,Calling It Crazy (Lil Baby),xanderkash,5EBASY7wF4h5vGXe7BauS9,[],0.0,1.721177135684908,2
3136,spotify:track:71he7ShvDkKna60RozMqyN,331.834,0.378,0.895,11.0,-2.891,0.0,0.377,0.228,2.61e-06,0.751,0.534,78.857,4.0,You Got Me (Featuring Jill Scott) - Live / 1999,The Roots,78xUyw6FkVZrRAtziFdtdu,"['conscious hip hop', 'east coast hip hop', 'hip hop', 'philly rap', 'political hip hop']",25.0,You Got Me (Featuring Jill Scott) - Live / 1999,The Roots,78xUyw6FkVZrRAtziFdtdu,"['conscious hip hop', 'east coast hip hop', 'hip hop', 'philly rap', 'political hip hop']",25.0,0.6250793513252849,1
1,spotify:track:00QyLmjxaSEE8qIZQjBXBj,330.336,0.556,0.899,8.0,-4.573,1.0,0.407,0.0517,0.0,0.0569,0.562,172.078,4.0,We Own It (Fast & Furious),2 Chainz,17lzZA2AlOHwCwFALHttmp,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",52.0,We Own It (Fast & Furious),2 Chainz,17lzZA2AlOHwCwFALHttmp,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",52.0,1.4495223635653576,1
1790,spotify:track:401160izncPtca3CmX3dvM,329.295,0.567,0.824,3.0,-6.973,0.0,0.296,0.167,2.65e-06,0.149,0.737,138.202,4.0,Purple Hearts,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.0,Purple Hearts,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.0,1.0,1
3401,spotify:track:7n4YpQcocaRfXRlEl07klO,328.21349999999995,0.43,0.717,2.0,-6.676,1.0,0.275,0.136,0.0,0.972,0.302,78.881,4.0,Life Of The Party (with André 3000),Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']",57.0,Life Of The Party (with André 3000),Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']",57.0,0.8380147374226361,2
