,ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,2024-08-13T21:13:48Z,markbutler915,ios,395,US,2600:387:f:b14::7,,Bloody Samaritan (with Kelly Rowland) - Remix,Ayra Starr,Bloody Samaritan (with Kelly Rowland),spotify:track:0RGGAP5gpvToJyUZbiEcXO,,,,clickrow,fwdbtn,True,True,False,1723583628,False,,,,,,,,,,,,,
1,2024-08-13T21:13:49Z,markbutler915,ios,1091,US,2600:387:f:b14::7,,LEFT RIGHT,Wisa Greid,LEFT RIGHT,spotify:track:1D1hdsuMYmaAVOXnz9hdmt,,,,fwdbtn,fwdbtn,True,True,False,1723583628,False,,,,,,,,,,,,,
2,2024-08-13T21:13:50Z,markbutler915,ios,905,US,2600:387:f:b14::7,,Allo,Youka,Allo,spotify:track:1dxl7CSBstnOcLzWrQiBLj,,,,fwdbtn,fwdbtn,True,True,False,1723583629,False,,,,,,,,,,,,,
3,2024-08-13T21:13:52Z,markbutler915,ios,1277,US,2600:387:f:b14::7,,NO IDEA #jerseyclub (Ziahfyah & Indo2x Remix) - SLOWED & REVERB,Don Toliver,NO IDEA #jerseyclub (Ziahfyah & Indo2x Remix),spotify:track:66gOtDjvW09YUpXfAO5opn,,,,fwdbtn,fwdbtn,True,True,False,1723583630,False,,,,,,,,,,,,,
4,2024-08-13T21:13:57Z,markbutler915,ios,5154,US,2600:387:f:b14::7,,Choco,Dj Verigal,Choco,spotify:track:5J1GXL8FDxHH1ki8oNz4hD,,,,fwdbtn,endplay,True,True,False,1723583632,False,,,,,,,,,,,,,
5,2024-08-13T21:13:59Z,markbutler915,ios,1834,US,2600:387:f:b14::7,,B12,Lil Durk,Almost Healed,spotify:track:7cP6kjAIJtIN1zyV5Q0kA9,,,,playbtn,fwdbtn,True,True,False,1723583637,False,,,,,,,,,,,,,
6,2024-08-13T21:15:43Z,markbutler915,ios,103119,US,2600:387:f:b14::7,,INDECISIVE,Snoh Aalegra,TEMPORARY HIGHS IN THE VIOLET SKIES,spotify:track:3iO9HBIBWvHwm7F6ZqYWNb,,,,fwdbtn,fwdbtn,True,True,False,1723583639,False,,,,,,,,,,,,,
7,2024-08-13T21:18:09Z,markbutler915,ios,147106,US,2600:387:f:b14::7,,ON THE RIVER,Offset,SET IT OFF,spotify:track:1aLpfH1M7Y4ZngOmSiHk0l,,,,fwdbtn,trackdone,True,False,False,1723583743,False,,,,,,,,,,,,,
8,2024-08-13T21:20:06Z,markbutler915,ios,120669,US,2600:387:f:b14::7,,i was just thinking,Gunna,a Gift & a Curse,spotify:track:5QG0l8nybp5rLMo7saQHl2,,,,trackdone,fwdbtn,True,True,False,1723583884,False,,,,,,,,,,,,,
9,2024-08-13T21:23:08Z,markbutler915,ios,183286,US,2600:387:f:b14::7,,Be My Summer,Snoh Aalegra,Be My Summer,spotify:track:18QC5FsQ9FThInUrC6BScS,,,,fwdbtn,trackdone,True,False,False,1723584006,False,,,,,,,,,,,,,
